campaignid,sample,reef,mean_relief
2020-10_south-west_stereo-BRUVs,IO195,0.666666667,2.333333333
2020-10_south-west_stereo-BRUVs,IO199,0.972222222,2.6
2020-10_south-west_stereo-BRUVs,IO201,0.84375,1.952380952
2020-10_south-west_stereo-BRUVs,IO204,0.40625,1.64
2020-10_south-west_stereo-BRUVs,IO206,0.387096774,1.296296296
2020-10_south-west_stereo-BRUVs,IO207,0.566666667,1.631578947
2020-10_south-west_stereo-BRUVs,IO210,0.896551724,2.291666667
2020-10_south-west_stereo-BRUVs,IO211,1,2.888888889
2020-10_south-west_stereo-BRUVs,IOC06,0.970588235,2.538461538
2020-10_south-west_stereo-BRUVs,IO216,0.685714286,2.346153846
2020-10_south-west_stereo-BRUVs,IO217,0.243243243,1
2020-10_south-west_stereo-BRUVs,IO218,0.142857143,0.96
2020-10_south-west_stereo-BRUVs,IO220,0.966666667,2.36
2020-10_south-west_stereo-BRUVs,IO222,0.678571429,2.05
2020-10_south-west_stereo-BRUVs,IO223,0.346153846,1.37037037
2020-10_south-west_stereo-BRUVs,IO224,0.933333333,2.318181818
2020-10_south-west_stereo-BRUVs,IO225,0.885714286,1.92
2020-10_south-west_stereo-BRUVs,IO226,0.741935484,2.260869565
2020-10_south-west_stereo-BRUVs,IO227,0.586206897,2.291666667
2020-10_south-west_stereo-BRUVs,IO228,0.971428571,2.44
2020-10_south-west_stereo-BRUVs,IO229,0.794117647,2.703703704
2020-10_south-west_stereo-BRUVs,IO235,0.5,2
2020-10_south-west_stereo-BRUVs,IO236,0.848484848,2.16
2020-10_south-west_stereo-BRUVs,IO237,0,0
2020-10_south-west_stereo-BRUVs,IO239,0,0.041666667
2020-10_south-west_stereo-BRUVs,IO241,1,2.96
2020-10_south-west_stereo-BRUVs,IO244,0.826086957,1.88
2020-10_south-west_stereo-BRUVs,IO245,1,2.533333333
2020-10_south-west_stereo-BRUVs,IO253,0.058823529,0.533333333
2020-10_south-west_stereo-BRUVs,IO254,0.142857143,1.12
2020-10_south-west_stereo-BRUVs,IO258,1,3
